ID_ESTADO,NOMBRE_ESTADO,DISTRITO LOCAL,CLAVE MUNICIPIO,MUNICIPIO,SECCION,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VOTOS VALIDOS,VOTOS NULOS,TOTAL VOTOS,LISTA NOMINAL
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1204,189,793,631,141,117,358,1531,4214,170,4387,9253
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1205,45,191,150,30,37,102,418,1122,44,1167,2557
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1206,40,164,122,32,48,82,300,866,39,906,1691
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1209,14,82,76,37,16,40,239,561,20,581,1223
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1210,62,240,163,56,39,119,546,1375,68,1443,3045
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1211,41,205,199,39,48,83,544,1282,56,1338,2743
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1212,78,266,261,60,36,143,559,1561,49,1611,2998
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1214,46,219,112,27,19,94,380,1001,41,1046,1809
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1215,45,189,125,20,14,72,259,810,17,828,1155
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1216,74,296,160,35,28,104,411,1201,23,1227,2156
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1217,55,175,165,42,34,112,422,1141,38,1180,2246
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1219,42,137,109,22,19,69,314,797,25,822,1422
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1220,56,179,116,21,11,84,316,856,25,882,1464
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1221,39,239,164,47,40,97,477,1220,40,1260,2890
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1222,55,220,177,51,35,107,438,1251,60,1311,2742
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1223,37,129,92,28,13,56,229,663,26,690,1336
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1224,25,113,67,19,9,46,157,477,14,491,857
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1225,58,145,119,19,10,67,190,665,20,685,1069
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1226,49,212,165,19,19,69,343,952,24,976,1569
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1227,63,265,175,23,34,91,494,1258,37,1296,2214
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1230,64,165,106,25,13,82,257,766,23,790,1196
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1231,45,176,87,13,16,56,186,629,11,640,909
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1232,51,198,180,32,31,83,393,1075,29,1105,2120
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1233,19,56,73,23,12,32,137,398,17,415,844
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1234,42,130,116,31,18,98,336,854,26,880,1737
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1235,33,146,109,33,24,69,351,838,28,866,1574
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1236,31,132,87,14,12,65,226,618,20,640,1161
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1237,76,237,252,28,29,114,270,1093,22,1117,1701
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1238,86,205,135,11,18,80,303,923,35,960,1672
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1239,34,143,104,8,10,66,197,621,20,641,1059
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1250,33,161,103,21,17,62,269,734,22,757,1267
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1251,82,187,131,23,14,99,280,884,21,905,1493
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1252,43,175,180,59,22,104,362,1057,49,1106,2575
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1253,11,10,12,2,4,14,21,88,3,91,256
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,0,0,0,1,0,0,0,3,4,0,4,5
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1254,76,266,141,20,12,96,306,1005,19,1025,1543
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1259,59,353,297,94,68,213,729,2084,96,2182,5401
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1260,37,147,126,22,25,75,387,911,27,939,1696
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1261,75,245,161,31,22,113,356,1114,44,1162,1830
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1264,35,214,151,56,17,105,436,1141,42,1183,2326
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1265,72,333,446,71,63,175,803,2220,104,2324,4971
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1266,60,299,228,59,41,137,567,1586,52,1640,3316
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1273,20,62,57,32,28,22,318,587,37,624,1225
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1274,11,36,117,10,3,6,31,216,4,220,449
