ID_ESTADO,NOMBRE_ESTADO,DISTRITO LOCAL,CABECERA_DISTRITAL_LOCAL,MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD,PRD_MC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,1,2,15,104,45,8,58,25,12,426,28,1,3,5,27,4,0,0,0,0,0,0,0,1,0,0,0,5,8,0,0,775,0,34,809,1265
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,2,2,29,92,45,6,43,20,3,283,8,0,1,2,25,1,0,0,0,0,0,0,0,1,0,1,8,5,4,0,0,577,0,22,599,1022
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,3,4,14,238,77,10,80,81,6,526,40,5,2,5,49,2,0,0,0,0,0,0,0,2,1,0,0,12,18,0,0,1168,4,68,1240,2280
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,4,2,8,90,37,10,37,6,2,286,10,4,2,3,19,3,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,526,0,25,551,988
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,5,1,2,59,66,4,23,3,10,170,12,0,0,1,13,3,0,0,0,0,0,0,0,2,1,0,0,5,6,0,0,380,0,26,406,729
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,6,2,12,56,28,4,28,5,6,219,16,5,1,9,21,3,0,0,0,0,0,0,0,3,0,0,0,1,4,0,0,421,0,12,433,774
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,7,2,14,94,40,9,56,12,7,368,11,3,3,2,34,4,0,0,0,0,0,0,0,0,1,0,1,1,5,0,0,665,0,33,698,1257
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,8,2,12,84,27,5,40,14,9,224,9,1,0,0,31,2,0,0,0,0,0,0,0,1,0,0,0,3,6,0,0,468,1,246,715,832
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,9,2,5,92,34,4,29,10,10,170,20,3,1,5,23,2,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,414,0,28,442,783
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,10,2,12,89,39,5,43,9,3,249,20,3,1,2,23,0,0,0,0,0,0,0,0,3,1,0,0,1,6,0,0,509,0,21,530,895
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,11,2,6,73,25,2,27,10,7,224,32,3,0,4,19,2,0,0,0,0,0,0,0,1,0,0,1,5,4,0,0,445,0,24,469,945
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,12,2,4,76,26,4,49,5,15,258,16,1,3,2,14,3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,482,0,21,503,886
12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,13,2,17,130,46,15,60,8,17,364,21,1,1,4,22,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,711,2,31,744,1304
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,14,1,15,96,10,5,22,13,6,179,23,0,0,3,18,1,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,402,0,20,422,712
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,15,2,11,116,15,10,35,10,10,211,14,0,1,2,29,2,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,473,0,36,509,891
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,16,2,5,72,38,7,26,10,11,182,26,2,0,0,16,0,0,0,0,0,0,0,0,1,2,0,0,5,2,0,0,405,0,36,441,831
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,17,2,17,81,18,5,40,11,5,229,50,2,4,4,27,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,502,0,24,526,999
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,18,2,9,135,29,6,54,19,9,344,139,3,2,11,25,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,788,0,48,836,1437
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,19,4,17,174,62,10,123,43,17,630,54,2,3,7,39,8,0,0,0,0,0,0,0,1,2,1,2,4,20,0,0,1219,0,75,1294,2370
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,20,2,13,144,30,5,47,15,3,293,32,2,3,2,42,3,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,646,0,33,679,1126
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,21,2,11,85,24,7,63,16,9,364,43,5,0,3,74,3,0,0,0,0,0,0,0,0,0,1,3,4,6,0,0,721,0,27,748,1281
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,22,2,17,108,32,5,81,46,7,367,23,2,2,4,42,2,0,0,0,0,0,0,0,1,1,0,0,7,7,0,0,754,0,26,780,1272
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,23,3,24,143,26,11,83,8,8,496,19,2,0,3,62,2,0,0,0,0,0,0,0,1,0,0,0,6,6,0,0,900,0,30,930,1588
12,GUERRERO,5,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,24,2,15,140,47,13,74,9,14,489,12,1,1,6,26,1,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,865,0,14,879,1222
12,GUERRERO,5,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,25,2,19,178,57,11,85,18,21,441,16,3,4,1,43,3,0,0,0,0,0,0,0,0,1,1,0,4,7,0,0,913,1,24,938,1273
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,26,2,22,98,42,7,84,12,8,400,15,3,4,3,42,0,0,0,0,0,0,0,0,1,1,0,1,6,6,0,0,755,0,18,773,1206
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,27,3,29,136,42,21,103,31,6,439,36,2,6,4,63,3,0,0,0,0,0,0,0,1,1,0,1,4,14,0,0,942,1,42,985,1776
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,28,2,12,127,23,5,71,21,6,291,12,3,5,7,37,2,0,0,0,0,0,0,0,1,0,0,0,3,6,0,0,632,0,50,682,1230
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,29,3,10,131,27,10,123,16,7,487,19,9,7,14,54,0,0,0,0,0,0,0,0,1,0,1,0,2,8,0,0,926,0,27,953,1693
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,30,3,13,124,39,18,111,12,5,423,39,2,3,4,60,1,0,0,0,0,0,0,0,1,1,0,0,6,7,0,0,869,1,63,933,1721
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,31,5,43,378,70,27,180,77,39,866,76,6,2,17,100,6,0,0,0,0,0,0,0,5,0,2,0,18,17,0,0,1929,1,91,2021,3744
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,32,2,11,171,27,7,72,11,6,298,8,2,0,1,37,5,0,0,0,0,0,0,0,1,0,0,1,4,4,0,0,666,1,22,689,1047
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,33,3,15,191,56,15,87,17,6,544,35,3,1,20,69,11,0,0,0,0,0,0,0,1,0,0,0,3,13,0,0,1087,2,36,1125,1764
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,34,2,11,109,18,3,66,5,9,280,18,3,1,7,39,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,571,3,21,595,1078
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,35,2,16,112,20,7,75,14,7,204,4,2,0,3,34,8,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,511,0,19,530,869
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,36,3,17,134,40,12,114,10,8,455,22,3,5,10,27,8,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,874,0,32,906,1587
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,37,2,9,88,30,7,76,14,7,346,17,4,8,10,52,0,0,0,0,0,0,0,0,6,1,0,0,6,12,0,0,693,0,23,716,1285
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,38,3,24,195,49,9,121,9,9,554,14,2,21,9,71,8,0,0,0,0,0,0,0,1,1,0,0,8,9,0,0,1114,0,31,1145,1825
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,39,3,44,206,37,24,174,15,11,520,13,5,1,9,68,2,0,0,0,0,0,0,0,3,0,0,0,15,13,0,0,1160,5,24,1189,1886
12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,40,2,20,101,22,9,84,5,13,305,7,1,3,3,40,2,0,0,0,0,0,0,0,2,1,0,0,6,5,0,0,629,0,18,647,1020
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,41,2,21,131,55,9,100,18,9,434,35,2,1,4,46,1,0,0,0,0,0,0,0,4,2,0,1,5,13,0,0,891,0,29,920,1490
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,42,3,21,158,33,9,117,19,7,448,37,4,18,3,39,2,0,0,0,0,0,0,0,1,1,1,1,2,4,0,0,925,1,26,952,1554
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,43,2,23,89,50,5,85,12,4,356,12,4,1,3,22,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,672,1,18,691,1122
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,44,2,20,80,23,8,89,12,1,324,12,2,2,6,41,0,0,0,0,0,0,0,0,1,2,0,1,4,2,0,0,630,0,27,657,1051
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,45,2,12,96,29,9,68,4,3,316,8,4,0,4,28,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,588,4,17,609,1001
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,46,2,16,94,22,5,74,8,1,250,9,1,3,3,23,2,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,518,2,12,532,826
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,47,2,16,102,35,10,92,18,10,290,7,1,1,5,28,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,623,1,3,627,1050
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,48,3,30,209,39,13,177,18,8,472,13,3,2,4,52,3,0,0,0,0,0,0,0,3,1,1,0,1,3,0,0,1052,6,27,1085,1675
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,49,2,34,111,26,9,98,10,10,338,12,2,5,2,48,6,0,0,0,0,0,0,0,2,1,1,0,10,6,0,0,731,0,22,753,1210
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,50,3,25,191,53,8,78,14,19,426,11,3,2,10,54,7,0,0,0,0,0,0,0,2,0,1,0,6,3,0,0,913,0,39,952,1516
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,51,2,30,144,34,8,112,10,20,357,14,2,1,6,42,6,0,0,0,0,0,0,0,2,0,0,0,3,6,0,0,797,0,10,807,1208
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,52,2,19,118,25,4,80,19,17,266,6,0,3,2,27,12,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,603,0,14,617,914
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,53,2,20,155,21,14,87,11,7,388,13,1,1,6,38,6,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,774,8,29,811,1258
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,54,2,25,108,25,7,79,12,14,386,12,2,2,21,57,4,0,0,0,0,0,0,0,3,0,1,0,2,5,0,0,765,2,30,797,1253
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,55,3,30,145,23,11,71,8,7,357,20,1,4,1,31,3,0,0,0,0,0,0,0,4,0,0,0,5,6,0,0,727,2,26,755,869
12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,56,2,27,111,34,7,85,8,6,390,23,1,3,2,35,5,0,0,0,0,0,0,0,1,1,0,1,4,8,0,0,752,1,23,776,1429
12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,57,2,11,140,20,9,61,8,9,323,5,1,2,9,31,6,0,0,0,0,0,0,0,1,1,0,0,12,6,0,0,655,2,12,669,1131
12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,58,1,6,97,8,7,30,6,3,148,3,4,1,1,16,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,337,1,9,347,482
12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,59,2,11,77,19,11,18,14,10,237,12,0,1,6,30,2,0,0,0,0,0,0,0,1,0,1,1,11,3,0,0,465,0,19,484,752
12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,60,2,15,142,28,16,49,5,3,339,5,3,1,3,22,2,0,0,0,0,0,0,0,5,0,0,1,7,7,0,0,653,0,25,678,1034
12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,61,2,19,130,32,11,69,8,9,291,13,2,4,4,53,4,0,0,0,0,0,0,0,1,1,1,2,4,5,0,0,663,6,0,669,1085
12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,62,1,8,64,16,6,32,9,2,138,10,2,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,313,0,4,317,505
12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,63,1,12,41,10,3,32,2,5,184,8,0,2,2,17,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,325,0,13,338,710
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,64,1,30,94,22,6,49,7,4,193,8,3,3,1,16,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,442,0,20,462,726
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,65,1,20,72,16,0,27,5,3,131,3,0,1,0,13,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,297,1,16,314,555
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,66,2,10,70,19,3,33,15,5,286,9,1,0,2,29,1,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,489,1,12,502,875
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,67,1,14,43,15,1,33,7,4,171,9,0,2,1,15,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,319,0,11,330,560
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,68,2,14,88,38,1,40,14,5,281,4,1,1,8,31,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,529,2,16,547,928
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,69,2,10,90,28,6,27,15,2,226,6,1,2,1,20,2,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,447,0,21,468,947
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,70,2,15,136,18,7,70,17,12,316,7,1,1,3,27,4,0,0,0,0,0,0,0,3,0,0,2,5,4,0,0,648,0,29,677,1129
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,71,2,11,117,25,9,68,11,3,303,8,6,2,9,45,2,0,0,0,0,0,0,0,3,0,0,0,1,5,0,0,628,0,26,654,1120
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,72,2,15,131,21,11,86,12,10,363,20,4,1,7,42,0,0,0,0,0,0,0,0,1,0,0,0,5,6,0,0,735,2,17,754,1191
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,73,2,11,107,12,4,45,15,3,273,34,3,5,14,32,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,566,1,16,583,919
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,74,2,9,119,20,7,56,14,5,260,12,1,1,3,21,1,0,0,0,0,0,0,0,1,1,0,0,6,5,0,0,542,0,23,565,904
12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,75,2,10,125,11,3,33,10,2,225,7,3,2,6,26,1,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,474,1,15,490,752
12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,76,1,19,56,12,2,41,11,4,184,6,0,1,1,22,2,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,366,0,5,371,671
