ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IHG,CG,PSM,PSG,CAND_IND3,CAND_IND6,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1204,11,81,788,367,122,242,81,33,2479,70,100,17,41,20,26,,,13,2,0,3,30,18,0,4533,1,266,4800,8140,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1205,4,19,272,120,24,92,20,11,608,20,27,3,8,10,7,,,2,1,1,0,14,1,0,1260,0,62,1322,2201,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1206,3,19,166,57,29,61,12,9,529,21,29,3,25,2,4,,,0,2,1,0,3,0,0,972,0,47,1019,1593,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1209,2,9,132,65,12,29,8,6,354,15,9,4,4,1,17,,,1,1,1,1,2,3,0,674,0,33,707,1213,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1210,4,23,253,145,30,70,24,19,788,34,32,4,5,3,8,,,1,3,0,0,10,5,0,1457,0,67,1524,2687,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1211,4,18,259,105,31,94,20,10,765,19,42,3,10,10,8,,,1,0,0,1,10,9,0,1415,0,88,1503,2500,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1212,4,33,316,136,33,143,32,27,916,15,30,12,16,3,11,,,5,3,0,2,12,9,0,1754,0,81,1835,2961,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1213,16,109,1036,607,181,316,118,52,3511,126,132,24,93,33,39,,,9,4,1,7,44,39,0,6481,1,323,6805,11714,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1214,3,23,240,97,18,28,10,10,567,14,14,4,18,0,2,,,8,2,1,1,11,6,0,1074,2,48,1124,1817,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1215,3,27,204,62,17,28,18,7,396,6,10,3,13,4,6,,,0,0,0,0,15,5,0,821,3,34,858,1155,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1216,4,29,384,83,32,41,18,12,716,16,11,3,13,1,5,,,5,1,0,0,8,1,0,1379,1,46,1426,2045,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1217,3,12,202,146,28,38,8,10,730,15,37,2,12,8,10,,,0,2,0,1,1,11,0,1273,3,62,1338,2146,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1219,2,11,163,81,19,34,13,8,496,18,21,5,8,1,2,,,2,0,0,0,2,8,0,892,0,32,924,1409,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1220,3,19,240,66,28,36,21,6,457,15,17,4,12,7,6,,,5,1,0,1,14,4,0,959,6,29,994,1526,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1221,4,25,289,233,26,72,20,7,687,20,20,4,9,4,2,,,5,1,0,2,10,2,0,1438,0,84,1522,2665,
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1222,4,26,297,142,40,65,22,6,757,22,35,9,4,3,1,,,2,2,2,3,15,10,0,1463,1,69,1533,2585,
