ID ESTADO,NOMBRE_ESTADO,DISTRITO LOCAL,CLAVE MUNICIPIO,MUNICIPIO,SECCION,PAN,PRI,PRD,PT,PVEM,MC,MORENA,VOTOS VALIDOS,VOTOS NULOS,TOTAL VOTOS,LISTA NOMINAL
12,GUERRERO,8,1,ACAPULCO DE JUAREZ,1,5,126,31,10,15,22,397,679,9,688,1246
12,GUERRERO,8,1,ACAPULCO DE JUAREZ,2,21,113,24,6,6,5,264,474,11,485,976
12,GUERRERO,8,1,ACAPULCO DE JUAREZ,3,5,274,55,10,8,28,523,960,31,991,2232
12,GUERRERO,8,1,ACAPULCO DE JUAREZ,4,4,91,24,0,4,17,242,419,14,433,935
12,GUERRERO,8,1,ACAPULCO DE JUAREZ,5,4,40,53,4,2,5,203,328,10,338,696
12,GUERRERO,8,1,ACAPULCO DE JUAREZ,6,2,71,9,1,1,11,214,349,5,354,735
12,GUERRERO,8,1,ACAPULCO DE JUAREZ,7,7,139,27,4,5,19,277,529,19,548,1212
12,GUERRERO,8,1,ACAPULCO DE JUAREZ,8,1,93,12,3,6,8,237,393,7,400,783
12,GUERRERO,8,1,ACAPULCO DE JUAREZ,9,3,69,15,6,5,13,213,342,8,350,748
12,GUERRERO,8,1,ACAPULCO DE JUAREZ,10,4,72,15,2,1,8,256,385,13,398,870
12,GUERRERO,8,1,ACAPULCO DE JUAREZ,11,1,98,4,4,3,16,210,375,11,386,898
12,GUERRERO,8,1,ACAPULCO DE JUAREZ,12,1,75,17,5,2,13,252,388,4,392,836
12,GUERRERO,8,1,ACAPULCO DE JUAREZ,13,12,142,28,6,10,10,327,584,29,614,1294
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,14,3,85,3,6,6,31,156,303,12,316,672
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,15,2,97,19,8,8,35,248,443,15,458,853
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,16,7,106,3,1,1,12,228,380,12,392,808
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,17,7,88,20,6,6,16,254,420,14,434,957
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,18,3,156,21,11,11,13,390,641,30,671,1447
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,19,11,222,35,10,10,17,647,1000,48,1048,2537
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,20,3,103,13,4,4,23,317,498,29,527,1084
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,21,11,113,22,12,12,41,345,586,23,609,1286
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,22,7,93,20,3,3,50,397,592,16,608,1254
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,23,13,144,18,10,10,33,446,728,19,747,1594
12,GUERRERO,5,1,ACAPULCO DE JUAREZ,24,12,146,24,9,13,39,492,760,17,777,1209
12,GUERRERO,5,1,ACAPULCO DE JUAREZ,25,22,185,28,4,10,46,464,797,24,823,1236
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,26,15,102,28,13,13,33,428,661,16,677,1202
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,27,7,137,15,11,11,48,514,773,24,798,1774
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,28,6,125,43,8,8,6,274,502,19,521,1270
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,29,10,154,23,3,3,26,487,758,18,776,1646
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,30,4,168,25,5,5,34,448,734,33,767,1711
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,31,22,420,41,21,21,48,934,1594,52,1647,3798
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,32,4,121,26,2,2,29,304,531,21,552,1017
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,33,14,166,53,12,12,31,579,915,21,936,1723
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,34,5,98,36,9,9,18,278,478,17,496,1032
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,35,7,91,42,7,7,18,214,411,17,428,801
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,36,8,155,13,6,6,31,506,754,27,782,1545
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,37,6,114,14,9,9,27,363,562,17,579,1280
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,38,14,240,27,10,10,39,563,940,20,961,1752
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,39,55,303,31,16,16,49,472,994,25,1019,1865
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,40,27,104,15,9,9,30,277,516,14,530,984
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,41,29,138,20,9,9,39,453,727,28,755,1465
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,42,20,165,17,13,13,45,419,750,27,777,1450
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,43,12,119,15,7,7,28,310,531,14,545,1039
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,44,12,108,15,12,12,21,370,566,8,574,1018
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,45,5,104,16,5,5,18,296,471,11,482,962
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,46,11,98,11,2,2,15,284,450,17,468,800
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,47,14,125,14,9,9,14,273,495,11,506,1013
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,48,44,221,33,14,14,54,463,910,10,920,1604
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,49,28,163,41,13,13,24,351,669,18,687,1232
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,50,7,189,51,12,12,41,387,749,24,773,1497
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,51,18,182,22,11,11,57,367,697,23,720,1165
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,52,19,147,10,6,6,29,256,513,9,523,879
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,53,20,182,34,6,6,28,353,666,22,688,1246
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,54,10,137,20,10,10,37,401,656,20,677,1221
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,55,11,153,33,8,8,28,330,599,13,612,847
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,56,26,121,15,5,15,24,342,618,21,640,1357
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,57,12,143,16,8,17,35,306,578,21,602,1092
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,58,5,69,8,0,5,15,168,294,10,305,462
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,59,4,100,20,1,8,33,223,419,13,432,747
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,60,9,162,21,4,12,25,298,550,16,566,1000
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,61,13,138,16,5,14,45,290,558,21,579,1079
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,62,5,55,9,5,7,16,145,258,7,265,510
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,63,0,50,6,13,7,15,160,309,4,313,693
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,64,7,104,20,4,4,5,203,381,4,386,694
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,65,5,66,3,4,4,9,119,236,10,246,527
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,66,11,93,13,4,4,23,201,366,9,375,835
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,67,3,38,13,4,4,10,135,230,9,239,521
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,68,12,100,12,9,9,15,291,462,15,477,916
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,69,4,70,44,13,13,15,227,402,16,418,923
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,70,11,85,36,6,6,23,328,526,8,536,1086
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,71,5,111,17,8,8,24,306,503,16,519,1052
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,72,11,126,16,8,8,27,373,595,22,617,1155
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,73,13,108,10,5,5,31,283,484,13,498,863
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,74,9,133,15,11,11,18,231,450,16,466,848
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,75,4,94,8,6,6,16,215,369,9,378,749
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,76,10,67,3,1,8,18,167,302,7,309,659
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,77,3,141,16,7,8,28,238,467,15,483,910
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,78,2,31,2,2,5,4,47,107,6,113,226
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,79,4,66,17,5,3,14,180,315,14,329,634
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,80,21,172,36,5,16,48,331,672,18,691,1275
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,81,15,126,17,11,11,21,192,433,14,448,933
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,82,7,85,9,1,1,11,110,234,6,240,447
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,83,4,102,10,1,1,16,174,323,3,326,629
12,GUERRERO,3,1,ACAPULCO DE JUAREZ,84,14,53,5,5,4,15,132,238,11,249,485
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,85,8,84,11,3,3,9,155,282,15,298,596
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,86,19,101,8,5,5,20,238,420,13,434,946
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,87,5,84,6,3,3,13,208,351,5,356,665
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,88,9,59,9,4,4,10,123,231,6,237,422
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,89,11,126,31,7,7,24,357,603,17,620,1178
12,GUERRERO,4,1,ACAPULCO DE JUAREZ,90,10,101,21,6,6,22,211,403,7,410,822
