ESTADO,NOMBRE ESTADO,DISTRITO_LOCAL,CLAVE MUNICIPIO,MUNICIPIO,SECCION,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VOTOS VALIDOS,VOTOS NULOS,TOTAL VOTOS,LISTA NOMINAL
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1204,137,430,185,170,130,696,1720,4141,266,4413,9253
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1205,35,108,55,50,42,151,484,1134,58,1196,2557
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1206,24,104,37,34,48,127,357,849,54,905,1691
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1209,10,37,27,38,26,62,252,539,38,579,1223
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1210,50,130,74,76,43,178,626,1358,83,1441,3045
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1211,30,114,66,51,50,142,632,1269,72,1341,2743
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1212,65,151,91,63,47,273,603,1543,71,1615,2998
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1214,48,131,32,40,32,135,419,984,60,1050,1809
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1215,58,112,40,19,13,135,279,766,24,791,1155
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1216,61,195,55,56,32,188,496,1227,49,1280,2156
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1217,33,99,46,61,38,178,485,1127,68,1197,2246
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1219,26,72,39,25,17,113,344,762,59,822,1422
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1220,47,142,40,30,19,154,304,845,35,882,1464
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1221,26,144,55,54,42,150,530,1195,73,1272,2890
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1222,48,127,79,52,46,183,510,1232,78,1311,2742
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1223,37,65,29,30,25,85,266,652,44,698,1336
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1224,21,76,26,26,15,56,186,468,23,492,857
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1225,55,97,32,20,15,110,204,608,31,639,1069
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1226,40,133,51,28,20,129,397,944,37,983,1569
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1227,45,180,67,44,41,144,542,1243,59,1306,2214
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1230,58,109,32,43,15,144,264,751,36,789,1196
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1231,61,136,35,12,17,106,191,623,15,640,909
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1232,34,112,58,51,39,141,463,1053,56,1110,2120
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1233,12,39,18,24,20,56,165,386,28,415,844
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1234,20,81,27,52,28,160,362,853,31,885,1737
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1235,23,81,38,33,25,103,409,825,37,865,1574
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1236,27,82,25,25,6,96,270,596,37,636,1161
12,GUERRERO,1,29,CHILPANCINGO DE LOS BRAVO,1237,90,146,72,31,29,216,321,1022,41,1066,1701
